[{'A': 0.2009460689789554, 'C': 0.2436645297619615, 'E': 0.18188546892920754, 'G': 0.21664329035923402}, {'A': -0.2019460689789554, 'C': -0.2446645297619615, 'E': -0.18288546892920754, 'G': -0.21764329035923402}, {'B': 0.34396337168928687, 'D': 0.374046602260721, 'F': 0.15003481586768144, 'H': 0.07646253077242846}, {'B': -0.34496337168928687, 'D': -0.375046602260721, 'F': -0.15103481586768144, 'H': -0.07746253077242846}, {'A': 0.3580177860454331, 'C': 0.35717195862168355, 'E': 0.2790063911295978, 'G': 0.27961381797120455}, {'A': -0.3590177860454331, 'C': -0.35817195862168355, 'E': -0.2800063911295978, 'G': -0.28061381797120455}, {'B': 0.49068814947574924, 'D': 0.3078594309890813, 'F': 0.3554792759305345, 'H': 0.32906003865079886}, {'B': -0.49168814947574924, 'D': -0.3088594309890813, 'F': -0.3564792759305345, 'H': -0.33006003865079886}, {'B': 0.26041125019217337, 'D': 0.4863088831425707, 'F': 0.1632851411983693, 'H': 0.20607090933692845}, {'B': -0.26141125019217337, 'D': -0.4873088831425707, 'F': -0.1642851411983693, 'H': -0.20707090933692845}, {'B': 0.16505929151340634, 'D': 0.472185867115984, 'F': 0.3212356243491893, 'H': 0.26353090621510084}, {'B': -0.16605929151340634, 'D': -0.473185867115984, 'F': -0.3222356243491893, 'H': -0.26453090621510084}, {'B': 0.22767599703010927, 'D': 0.48824584732158716, 'F': 0.48451630848445015, 'H': 0.46345478653083305}, {'B': -0.22867599703010927, 'D': -0.48924584732158716, 'F': -0.48551630848445015, 'H': -0.46445478653083305}, {'B': 0.3534682131679393, 'D': 0.05190112656518015, 'F': 0.30374836432268576, 'H': 0.39000830709766776}, {'B': -0.3544682131679393, 'D': -0.05290112656518015, 'F': -0.30474836432268576, 'H': -0.39100830709766776}, {'B': 0.0881430297209213, 'D': 0.10937607130501174, 'F': 0.16449419910136553, 'H': 0.2841130881382575}, {'B': -0.08914302972092131, 'D': -0.11037607130501174, 'F': -0.16549419910136554, 'H': -0.2851130881382575}, {'A': 0.06727885721414881, 'C': 0.2733944970880187, 'E': 0.05507651106102024, 'G': 0.12020442678606623}, {'A': -0.06827885721414881, 'C': -0.2743944970880187, 'E': -0.05607651106102024, 'G': -0.12120442678606623}]
[{'B': 0.16049617150847983, 'D': 0.18008509736059308, 'F': 0.061792132842654994, 'H': 0.35928528574395535}, {'B': -0.16149617150847984, 'D': -0.18108509736059308, 'F': -0.06279213284265499, 'H': -0.36028528574395535}, {'A': 0.06991003202998067, 'C': 0.49295909309765146, 'E': 0.1455120088123265, 'G': 0.1034713293223917}, {'A': -0.07091003202998067, 'C': -0.49395909309765146, 'E': -0.1465120088123265, 'G': -0.1044713293223917}, {'A': 0.4130619986699321, 'C': 0.11950967531068636, 'E': 0.20376535167539295, 'G': 0.3319493519521458}, {'A': -0.4140619986699321, 'C': -0.12050967531068636, 'E': -0.20476535167539295, 'G': -0.3329493519521458}, {'A': 0.07833044684878347, 'C': 0.3860124524762921, 'E': 0.17841858160899754, 'G': 0.06462126855668725}, {'A': -0.07933044684878347, 'C': -0.3870124524762921, 'E': -0.17941858160899754, 'G': -0.06562126855668725}, {'A': 0.4688816590254282, 'C': 0.4707417731989531, 'E': 0.39479018263198146, 'G': 0.14793873291562756}, {'A': -0.4698816590254282, 'C': -0.4717417731989531, 'E': -0.39579018263198146, 'G': -0.14893873291562756}, {'B': 0.44147177562164813, 'D': 0.25844302626967003, 'F': 0.3040293034268708, 'H': 0.16435914240008948}, {'B': -0.44247177562164813, 'D': -0.25944302626967003, 'F': -0.3050293034268708, 'H': -0.16535914240008948}, {'A': 0.248649684173404, 'C': 0.32481419779480253, 'E': 0.23655132997800382, 'G': 0.30864048357676205}, {'A': -0.249649684173404, 'C': -0.32581419779480253, 'E': -0.23755132997800382, 'G': -0.30964048357676205}, {'A': 0.26110966906841465, 'C': 0.48977169942030974, 'E': 0.32073541127921523, 'G': 0.19452481066481148}, {'A': -0.26210966906841465, 'C': -0.49077169942030974, 'E': -0.32173541127921523, 'G': -0.19552481066481148}, {'A': 0.1762677856404425, 'C': 0.16334273947103728, 'E': 0.4699773288577264, 'G': 0.4714095204641528}, {'A': -0.1772677856404425, 'C': -0.16434273947103728, 'E': -0.4709773288577264, 'G': -0.4724095204641528}, {'B': 0.47110237725432363, 'D': 0.27034431174654583, 'F': 0.18865305861551518, 'H': 0.4299430988917491}, {'B': -0.47210237725432364, 'D': -0.27134431174654583, 'F': -0.18965305861551518, 'H': -0.4309430988917491}]
[{'B': 0.443637059198782, 'D': 0.39534619863279064, 'F': 0.17455997672845447, 'H': 0.12233364142924483}, {'B': -0.444637059198782, 'D': -0.39634619863279064, 'F': -0.17555997672845447, 'H': -0.12333364142924483}, {'A': 0.14628010640266442, 'C': 0.3508500910086857, 'E': 0.26032049747998154, 'G': 0.2272609097430125}, {'A': -0.14728010640266442, 'C': -0.3518500910086857, 'E': -0.26132049747998154, 'G': -0.2282609097430125}, {'A': 0.37036859800073685, 'C': 0.3991787522728303, 'E': 0.1870561118339218, 'G': 0.460692747237351}, {'A': -0.37136859800073685, 'C': -0.4001787522728303, 'E': -0.1880561118339218, 'G': -0.461692747237351}, {'B': 0.38334320619280454, 'D': 0.15134635025977372, 'F': 0.3292582786279084, 'H': 0.23956473306402065}, {'B': -0.38434320619280454, 'D': -0.15234635025977372, 'F': -0.3302582786279084, 'H': -0.24056473306402065}, {'A': 0.2521781297726093, 'C': 0.40193376068598136, 'E': 0.22762697844401591, 'G': 0.11066910935642224}, {'A': -0.2531781297726093, 'C': -0.40293376068598136, 'E': -0.22862697844401592, 'G': -0.11166910935642224}, {'B': 0.2956336901620371, 'D': 0.37096743632187085, 'F': 0.4110543872374398, 'H': 0.1571655726673069}, {'B': -0.2966336901620371, 'D': -0.37196743632187085, 'F': -0.4120543872374398, 'H': -0.1581655726673069}, {'A': 0.3641430120200266, 'C': 0.35909812788479806, 'E': 0.24187301921599463, 'G': 0.35891403223321566}, {'A': -0.3651430120200266, 'C': -0.36009812788479806, 'E': -0.24287301921599463, 'G': -0.35991403223321566}, {'B': 0.36803787451354036, 'D': 0.2760673960924111, 'F': 0.3132049948537621, 'H': 0.4060516052577639}, {'B': -0.36903787451354036, 'D': -0.2770673960924111, 'F': -0.3142049948537621, 'H': -0.4070516052577639}, {'A': 0.3371714925226308, 'C': 0.06837826872314119, 'E': 0.06199423202110617, 'G': 0.3448220162634686}, {'A': -0.3381714925226308, 'C': -0.06937826872314119, 'E': -0.06299423202110617, 'G': -0.3458220162634686}, {'B': 0.3600730839686215, 'D': 0.09118306195608714, 'F': 0.17478325566311476, 'H': 0.39621533992061103}, {'B': -0.3610730839686215, 'D': -0.09218306195608714, 'F': -0.17578325566311476, 'H': -0.39721533992061103}]
[{'B': 0.30960870345774416, 'D': 0.34938528623074633, 'F': 0.1763361311611466, 'H': 0.3685219309401111}, {'B': -0.31060870345774416, 'D': -0.35038528623074633, 'F': -0.1773361311611466, 'H': -0.3695219309401111}, {'B': 0.2077715736089248, 'D': 0.26624496365299233, 'F': 0.2025132878051265, 'H': 0.2884293554207027}, {'B': -0.2087715736089248, 'D': -0.26724496365299233, 'F': -0.2035132878051265, 'H': -0.2894293554207027}, {'A': 0.23299159583909135, 'C': 0.15860726732433705, 'E': 0.08421298028882203, 'G': 0.3459792147325459}, {'A': -0.23399159583909135, 'C': -0.15960726732433705, 'E': -0.08521298028882203, 'G': -0.3469792147325459}, {'A': 0.3456690749440544, 'C': 0.47228052341739846, 'E': 0.2630655319210775, 'G': 0.4121259617619653}, {'A': -0.3466690749440544, 'C': -0.47328052341739846, 'E': -0.2640655319210775, 'G': -0.4131259617619653}, {'A': 0.47857829973560206, 'C': 0.33661105890972026, 'E': 0.31061306413903594, 'G': 0.18819713562974905}, {'A': -0.47957829973560206, 'C': -0.33761105890972026, 'E': -0.31161306413903594, 'G': -0.18919713562974905}, {'A': 0.4065492866415293, 'C': 0.43179794920626885, 'E': 0.20880457339907194, 'G': 0.4071786163710856}, {'A': -0.4075492866415293, 'C': -0.43279794920626885, 'E': -0.20980457339907194, 'G': -0.4081786163710856}, {'B': 0.3939314068620401, 'D': 0.2586169984546114, 'F': 0.35471784485289887, 'H': 0.3924840136358971}, {'B': -0.3949314068620401, 'D': -0.2596169984546114, 'F': -0.35571784485289887, 'H': -0.3934840136358971}, {'A': 0.22796340817719468, 'C': 0.17228009869555505, 'E': 0.08959243749455381, 'G': 0.21557424555393462}, {'A': -0.22896340817719468, 'C': -0.17328009869555505, 'E': -0.09059243749455381, 'G': -0.21657424555393462}, {'A': 0.4752286183569805, 'C': 0.10310295694155955, 'E': 0.4760071485123304, 'G': 0.0904633034832219}, {'A': -0.4762286183569805, 'C': -0.10410295694155955, 'E': -0.4770071485123304, 'G': -0.0914633034832219}, {'B': 0.3963981446192719, 'D': 0.14128614429101427, 'F': 0.47024106932437915, 'H': 0.14054487966631019}, {'B': -0.3973981446192719, 'D': -0.14228614429101427, 'F': -0.47124106932437915, 'H': -0.14154487966631019}]
[{'A': 0.4029592218626163, 'C': 0.1337846835424733, 'E': 0.12029619781624648, 'G': 0.494269921098308}, {'A': -0.4039592218626163, 'C': -0.1347846835424733, 'E': -0.12129619781624648, 'G': -0.495269921098308}, {'B': 0.4861044977346666, 'D': 0.18149967489130875, 'F': 0.24999070271904128, 'H': 0.42306056534615166}, {'B': -0.4871044977346666, 'D': -0.18249967489130875, 'F': -0.2509907027190413, 'H': -0.42406056534615166}, {'B': 0.40761670357672225, 'D': 0.23493971770800082, 'F': 0.12203261682423162, 'H': 0.054217480829719444}, {'B': -0.40861670357672225, 'D': -0.23593971770800082, 'F': -0.12303261682423162, 'H': -0.055217480829719445}, {'A': 0.2050855186989708, 'C': 0.40834426683292935, 'E': 0.16902385126700026, 'G': 0.40576799049218554}, {'A': -0.2060855186989708, 'C': -0.40934426683292935, 'E': -0.17002385126700026, 'G': -0.40676799049218554}, {'A': 0.21756510764287051, 'C': 0.21412908479140624, 'E': 0.19351088796964738, 'G': 0.13121805536529296}, {'A': -0.21856510764287052, 'C': -0.21512908479140624, 'E': -0.19451088796964738, 'G': -0.13221805536529296}, {'B': 0.3786950271375143, 'D': 0.07775718621716358, 'F': 0.3067846064246763, 'H': 0.2491432558098477}, {'B': -0.3796950271375143, 'D': -0.07875718621716359, 'F': -0.3077846064246763, 'H': -0.2501432558098477}, {'A': 0.18546662533399666, 'C': 0.36670844331389957, 'E': 0.31546031116468437, 'G': 0.16843636703064274}, {'A': -0.18646662533399666, 'C': -0.36770844331389957, 'E': -0.31646031116468437, 'G': -0.16943636703064274}, {'A': 0.2486131383020539, 'C': 0.13278457667674093, 'E': 0.16300793534163982, 'G': 0.11992140725744041}, {'A': -0.2496131383020539, 'C': -0.13378457667674093, 'E': -0.16400793534163982, 'G': -0.12092140725744041}, {'B': 0.29710822428868594, 'D': 0.4807409080976735, 'F': 0.17426236471629944, 'H': 0.057395625029341174}, {'B': -0.29810822428868594, 'D': -0.4817409080976735, 'F': -0.17526236471629944, 'H': -0.058395625029341175}, {'B': 0.07062501726993552, 'D': 0.4895763454883524, 'F': 0.42850698730596387, 'H': 0.47645007705751224}, {'B': -0.07162501726993552, 'D': -0.4905763454883524, 'F': -0.42950698730596387, 'H': -0.47745007705751225}]
[{'A': 0.43545983643965197, 'C': 0.1144523786456186, 'E': 0.20680362214343279, 'G': 0.14971723992421487}, {'A': -0.43645983643965197, 'C': -0.1154523786456186, 'E': -0.2078036221434328, 'G': -0.15071723992421487}, {'B': 0.2642654808462314, 'D': 0.33745413930698964, 'F': 0.17011786983646615, 'H': 0.08016575812927224}, {'B': -0.2652654808462314, 'D': -0.33845413930698964, 'F': -0.17111786983646615, 'H': -0.08116575812927224}, {'A': 0.3473982581827938, 'C': 0.3434552698846614, 'E': 0.42962120773616486, 'G': 0.1400023393072103}, {'A': -0.3483982581827938, 'C': -0.3444552698846614, 'E': -0.43062120773616486, 'G': -0.1410023393072103}, {'B': 0.10698427089519263, 'D': 0.4460200423323859, 'F': 0.43090019468816226, 'H': 0.31238930109791335}, {'B': -0.10798427089519264, 'D': -0.4470200423323859, 'F': -0.43190019468816226, 'H': -0.31338930109791335}, {'B': 0.23955440208033568, 'D': 0.2904485780863932, 'F': 0.4997297917969268, 'H': 0.4580030417904565}, {'B': -0.24055440208033568, 'D': -0.2914485780863932, 'F': -0.5007297917969268, 'H': -0.4590030417904565}, {'B': 0.2782598489531673, 'D': 0.2524120003867851, 'F': 0.25806232261437645, 'H': 0.48099362390348127}, {'B': -0.2792598489531673, 'D': -0.2534120003867851, 'F': -0.25906232261437645, 'H': -0.48199362390348127}, {'B': 0.06197107237184456, 'D': 0.14099504835944165, 'F': 0.47995449801404927, 'H': 0.4045614531256548}, {'B': -0.06297107237184456, 'D': -0.14199504835944166, 'F': -0.48095449801404927, 'H': -0.4055614531256548}, {'B': 0.34412718373126655, 'D': 0.16299505822011598, 'F': 0.1385462007487284, 'H': 0.2462012388780755}, {'B': -0.34512718373126655, 'D': -0.16399505822011598, 'F': -0.1395462007487284, 'H': -0.2472012388780755}, {'A': 0.14386089914555625, 'C': 0.26985375172133164, 'E': 0.4428019208438362, 'G': 0.49279706604192497}, {'A': -0.14486089914555625, 'C': -0.27085375172133164, 'E': -0.4438019208438362, 'G': -0.49379706604192497}, {'A': 0.2946299518271885, 'C': 0.407068397256504, 'E': 0.44142683953416734, 'G': 0.3628212354816478}, {'A': -0.2956299518271885, 'C': -0.408068397256504, 'E': -0.44242683953416734, 'G': -0.3638212354816478}]
[{'A': 0.22660780018962645, 'C': 0.43978794745772926, 'E': 0.2499912993731605, 'G': 0.4636697035068046}, {'A': -0.22760780018962645, 'C': -0.44078794745772926, 'E': -0.2509912993731605, 'G': -0.4646697035068046}, {'A': 0.3006840095089712, 'C': 0.42542773959305213, 'E': 0.41280148417611506, 'G': 0.4031839107602652}, {'A': -0.3016840095089712, 'C': -0.42642773959305214, 'E': -0.41380148417611506, 'G': -0.4041839107602652}, {'B': 0.0891252004816113, 'D': 0.27563470029738674, 'F': 0.0773781099324562, 'H': 0.4564655101235112}, {'B': -0.0901252004816113, 'D': -0.27663470029738674, 'F': -0.0783781099324562, 'H': -0.4574655101235112}, {'A': 0.09004083171128012, 'C': 0.35791788749839404, 'E': 0.30352904706906125, 'G': 0.38377819427937426}, {'A': -0.09104083171128012, 'C': -0.35891788749839404, 'E': -0.30452904706906125, 'G': -0.38477819427937426}, {'B': 0.4387552251758835, 'D': 0.2196112830383034, 'F': 0.15457754028957574, 'H': 0.3166830504326318}, {'B': -0.4397552251758835, 'D': -0.2206112830383034, 'F': -0.15557754028957574, 'H': -0.3176830504326318}, {'B': 0.35947814880065904, 'D': 0.2355550828823656, 'F': 0.2759391581410317, 'H': 0.3222137501759312}, {'B': -0.36047814880065904, 'D': -0.2365550828823656, 'F': -0.2769391581410317, 'H': -0.3232137501759312}, {'A': 0.30378567539539514, 'C': 0.13751060803829096, 'E': 0.07184423479390499, 'G': 0.3878240086788978}, {'A': -0.30478567539539514, 'C': -0.13851060803829096, 'E': -0.07284423479390499, 'G': -0.3888240086788978}, {'A': 0.058901973868072846, 'C': 0.21005263137758923, 'E': 0.10428202894221927, 'G': 0.3069728282677901}, {'A': -0.05990197386807285, 'C': -0.21105263137758923, 'E': -0.10528202894221927, 'G': -0.3079728282677901}, {'A': 0.1574947008007648, 'C': 0.46141762836095435, 'E': 0.11394314287381063, 'G': 0.3629693075101173}, {'A': -0.1584947008007648, 'C': -0.46241762836095435, 'E': -0.11494314287381063, 'G': -0.3639693075101173}, {'B': 0.2561274584681612, 'D': 0.1606658186043579, 'F': 0.3663652939598089, 'H': 0.09433939852715223}, {'B': -0.2571274584681612, 'D': -0.1616658186043579, 'F': -0.3673652939598089, 'H': -0.09533939852715223}]
[{'A': 0.4624419364844169, 'C': 0.2414048188251388, 'E': 0.3184078075427434, 'G': 0.16539094528902515}, {'A': -0.4634419364844169, 'C': -0.2424048188251388, 'E': -0.3194078075427434, 'G': -0.16639094528902515}, {'B': 0.36225969631001526, 'D': 0.2959717192310008, 'F': 0.19938180765570218, 'H': 0.4206118596679034}, {'B': -0.36325969631001526, 'D': -0.2969717192310008, 'F': -0.20038180765570218, 'H': -0.4216118596679034}, {'A': 0.2749419870661785, 'C': 0.48240649381548983, 'E': 0.10911798320919361, 'G': 0.327865809594502}, {'A': -0.2759419870661785, 'C': -0.48340649381548983, 'E': -0.11011798320919361, 'G': -0.328865809594502}, {'A': 0.09124785984003117, 'C': 0.06458014623561312, 'E': 0.2405518607831803, 'G': 0.48566986203068957}, {'A': -0.09224785984003117, 'C': -0.06558014623561312, 'E': -0.2415518607831803, 'G': -0.48666986203068957}, {'B': 0.3803631986280438, 'D': 0.41951918329727994, 'F': 0.27102530988124923, 'H': 0.38129884564808136}, {'B': -0.3813631986280438, 'D': -0.42051918329727994, 'F': -0.27202530988124923, 'H': -0.38229884564808136}, {'B': 0.24378466581751773, 'D': 0.26367656089009006, 'F': 0.4384746667306833, 'H': 0.1610493418800203}, {'B': -0.24478466581751773, 'D': -0.26467656089009006, 'F': -0.4394746667306833, 'H': -0.1620493418800203}, {'A': 0.16081757000005703, 'C': 0.07759034946259641, 'E': 0.3133634804261807, 'G': 0.30870975240375037}, {'A': -0.16181757000005703, 'C': -0.07859034946259641, 'E': -0.3143634804261807, 'G': -0.30970975240375037}, {'B': 0.395164294602317, 'D': 0.4828587726939748, 'F': 0.19824345056109516, 'H': 0.18973852113711442}, {'B': -0.396164294602317, 'D': -0.4838587726939748, 'F': -0.19924345056109516, 'H': -0.19073852113711443}, {'A': 0.13755324497498306, 'C': 0.19681995344564307, 'E': 0.42508660417622546, 'G': 0.06053656052606504}, {'A': -0.13855324497498306, 'C': -0.19781995344564307, 'E': -0.42608660417622546, 'G': -0.06153656052606504}, {'A': 0.25250946867667623, 'C': 0.19743677211634209, 'E': 0.3790698646633073, 'G': 0.37501217514567264}, {'A': -0.25350946867667623, 'C': -0.1984367721163421, 'E': -0.3800698646633073, 'G': -0.37601217514567264}]
[{'B': 0.40268548496314255, 'D': 0.3973475468243586, 'F': 0.391691226827437, 'H': 0.27503836017372485}, {'B': -0.40368548496314255, 'D': -0.3983475468243586, 'F': -0.392691226827437, 'H': -0.27603836017372485}, {'B': 0.18089336391163835, 'D': 0.43947207083969, 'F': 0.3300214517956642, 'H': 0.060083965573035886}, {'B': -0.18189336391163835, 'D': -0.44047207083969, 'F': -0.3310214517956642, 'H': -0.06108396557303589}, {'B': 0.05988392440755655, 'D': 0.4731331679011353, 'F': 0.05002278093002919, 'H': 0.12134515999543083}, {'B': -0.06088392440755655, 'D': -0.4741331679011353, 'F': -0.05102278093002919, 'H': -0.12234515999543083}, {'B': 0.27798035483782363, 'D': 0.3811977746003018, 'F': 0.2348409105066579, 'H': 0.14398132505534647}, {'B': -0.27898035483782363, 'D': -0.3821977746003018, 'F': -0.2358409105066579, 'H': -0.14498132505534647}, {'B': 0.22994255139294995, 'D': 0.22204197861781594, 'F': 0.4840261955611698, 'H': 0.3110840799638644}, {'B': -0.23094255139294995, 'D': -0.22304197861781594, 'F': -0.4850261955611698, 'H': -0.3120840799638644}, {'A': 0.2779490554509483, 'C': 0.30064213770873505, 'E': 0.399659085528332, 'G': 0.21173369470011516}, {'A': -0.2789490554509483, 'C': -0.30164213770873505, 'E': -0.400659085528332, 'G': -0.21273369470011516}, {'A': 0.3926247470738242, 'C': 0.41512423416762756, 'E': 0.3150288908979881, 'G': 0.34886512710343287}, {'A': -0.3936247470738242, 'C': -0.41612423416762756, 'E': -0.3160288908979881, 'G': -0.34986512710343287}, {'A': 0.07602598927774032, 'C': 0.1493531209543563, 'E': 0.46170688884190386, 'G': 0.4463386050444524}, {'A': -0.07702598927774032, 'C': -0.1503531209543563, 'E': -0.46270688884190386, 'G': -0.4473386050444524}, {'A': 0.3689938623757505, 'C': 0.28881656042722975, 'E': 0.40148745066361985, 'G': 0.1940377735720809}, {'A': -0.3699938623757505, 'C': -0.28981656042722975, 'E': -0.40248745066361985, 'G': -0.1950377735720809}, {'B': 0.12197310216500924, 'D': 0.2289897471406347, 'F': 0.44678729429671565, 'H': 0.09815488212196265}, {'B': -0.12297310216500924, 'D': -0.2299897471406347, 'F': -0.44778729429671565, 'H': -0.09915488212196265}]
[{'A': 0.3981768103036253, 'C': 0.33903386558205495, 'E': 0.2909241723261763, 'G': 0.35427848491082414}, {'A': -0.3991768103036253, 'C': -0.34003386558205495, 'E': -0.2919241723261763, 'G': -0.35527848491082414}, {'A': 0.31609555252535904, 'C': 0.416577914022491, 'E': 0.19647598551091822, 'G': 0.4552733391611177}, {'A': -0.31709555252535904, 'C': -0.417577914022491, 'E': -0.19747598551091822, 'G': -0.4562733391611177}, {'B': 0.4504405269858816, 'D': 0.1394972713441786, 'F': 0.23295523402689866, 'H': 0.33348524982759997}, {'B': -0.4514405269858816, 'D': -0.1404972713441786, 'F': -0.23395523402689866, 'H': -0.3344852498276}, {'B': 0.1868699921009988, 'D': 0.4072779205615593, 'F': 0.051523359472509446, 'H': 0.4916293768776714}, {'B': -0.1878699921009988, 'D': -0.4082779205615593, 'F': -0.05252335947250945, 'H': -0.4926293768776714}, {'A': 0.4984910192709047, 'C': 0.43028289656575436, 'E': 0.2096434372417883, 'G': 0.10697792254261893}, {'A': -0.4994910192709047, 'C': -0.43128289656575436, 'E': -0.2106434372417883, 'G': -0.10797792254261893}, {'B': 0.2876957109504722, 'D': 0.36442023311079147, 'F': 0.3662443714148381, 'H': 0.11546340567670244}, {'B': -0.2886957109504722, 'D': -0.36542023311079147, 'F': -0.3672443714148381, 'H': -0.11646340567670244}, {'A': 0.22748013329214645, 'C': 0.31526871629562697, 'E': 0.35391611319151545, 'G': 0.4047206828729974}, {'A': -0.22848013329214645, 'C': -0.316268716295627, 'E': -0.35491611319151545, 'G': -0.4057206828729974}, {'B': 0.13413929942704061, 'D': 0.2352040998110218, 'F': 0.17396891207468101, 'H': 0.29782886191406543}, {'B': -0.13513929942704062, 'D': -0.2362040998110218, 'F': -0.17496891207468102, 'H': -0.29882886191406544}, {'B': 0.42151616273010095, 'D': 0.2365494960691621, 'F': 0.2101477732791336, 'H': 0.3421439379156778}, {'B': -0.42251616273010095, 'D': -0.2375494960691621, 'F': -0.2111477732791336, 'H': -0.3431439379156778}, {'B': 0.40909693537408653, 'D': 0.26685944950858653, 'F': 0.22502605789349894, 'H': 0.054582236430884015}, {'B': -0.41009693537408654, 'D': -0.26785944950858653, 'F': -0.22602605789349894, 'H': -0.055582236430884016}]
[{'A': 0.0917731185043681, 'C': 0.4171489226508753, 'E': 0.20847796454816542, 'G': 0.06798971213207441}, {'A': -0.0927731185043681, 'C': -0.4181489226508753, 'E': -0.20947796454816542, 'G': -0.06898971213207442}, {'B': 0.35245590049096526, 'D': 0.41253869653316383, 'F': 0.4164442500125962, 'H': 0.09451864931054701}, {'B': -0.35345590049096526, 'D': -0.41353869653316383, 'F': -0.4174442500125962, 'H': -0.09551864931054702}, {'A': 0.35424458970401546, 'C': 0.13020821578919356, 'E': 0.3773309375076479, 'G': 0.45681044063586196}, {'A': -0.35524458970401546, 'C': -0.13120821578919356, 'E': -0.3783309375076479, 'G': -0.45781044063586196}, {'B': 0.21979587903300396, 'D': 0.29898904756530265, 'F': 0.19442552174950278, 'H': 0.4356040453788516}, {'B': -0.22079587903300396, 'D': -0.29998904756530265, 'F': -0.19542552174950278, 'H': -0.4366040453788516}, {'B': 0.34791367668534123, 'D': 0.38367248458666864, 'F': 0.3797430949860726, 'H': 0.1393046438399156}, {'B': -0.34891367668534123, 'D': -0.38467248458666864, 'F': -0.3807430949860726, 'H': -0.1403046438399156}, {'B': 0.4024901375226589, 'D': 0.15361086655623957, 'F': 0.09176494284213904, 'H': 0.07409662408526646}, {'B': -0.4034901375226589, 'D': -0.15461086655623957, 'F': -0.09276494284213904, 'H': -0.07509662408526646}, {'B': 0.4205379485662977, 'D': 0.2854936879768423, 'F': 0.3754862457545632, 'H': 0.418605287703376}, {'B': -0.4215379485662977, 'D': -0.2864936879768423, 'F': -0.3764862457545632, 'H': -0.419605287703376}, {'A': 0.0891854097114359, 'C': 0.05123121635403281, 'E': 0.24943754637122834, 'G': 0.47324861072081714}, {'A': -0.0901854097114359, 'C': -0.052231216354032814, 'E': -0.25043754637122834, 'G': -0.47424861072081714}, {'B': 0.19897533695870995, 'D': 0.15499438782620256, 'F': 0.16856610589067625, 'H': 0.440208582006636}, {'B': -0.19997533695870995, 'D': -0.15599438782620256, 'F': -0.16956610589067625, 'H': -0.441208582006636}, {'A': 0.198729433985895, 'C': 0.27225890096604244, 'E': 0.14384912893759322, 'G': 0.1955691084345384}, {'A': -0.199729433985895, 'C': -0.27325890096604244, 'E': -0.14484912893759322, 'G': -0.1965691084345384}]
[{'A': 0.2106991927882531, 'C': 0.09884639256050487, 'E': 0.14477298116827206, 'G': 0.3723165125621738}, {'A': -0.2116991927882531, 'C': -0.09984639256050487, 'E': -0.14577298116827206, 'G': -0.3733165125621738}, {'A': 0.4344922311028676, 'C': 0.40979116623449724, 'E': 0.4362644044114766, 'G': 0.20383328559535369}, {'A': -0.4354922311028676, 'C': -0.41079116623449724, 'E': -0.4372644044114766, 'G': -0.2048332855953537}, {'A': 0.49154924456294713, 'C': 0.3387299225980041, 'E': 0.3988838041322764, 'G': 0.2942581104232729}, {'A': -0.49254924456294713, 'C': -0.3397299225980041, 'E': -0.3998838041322764, 'G': -0.2952581104232729}, {'A': 0.11709548454483647, 'C': 0.3170621914498792, 'E': 0.2752909250074029, 'G': 0.278469230545681}, {'A': -0.11809548454483647, 'C': -0.3180621914498792, 'E': -0.2762909250074029, 'G': -0.279469230545681}, {'A': 0.18845849485035193, 'C': 0.2546718431371956, 'E': 0.371381218974623, 'G': 0.49271070792918653}, {'A': -0.18945849485035193, 'C': -0.2556718431371956, 'E': -0.372381218974623, 'G': -0.49371070792918653}, {'B': 0.2355254595303462, 'D': 0.4204252789497396, 'F': 0.4009557513595219, 'H': 0.305216033013871}, {'B': -0.2365254595303462, 'D': -0.4214252789497396, 'F': -0.4019557513595219, 'H': -0.306216033013871}, {'A': 0.21537283167153126, 'C': 0.32419475380852397, 'E': 0.29028573054332807, 'G': 0.19461301720308566}, {'A': -0.21637283167153126, 'C': -0.325194753808524, 'E': -0.29128573054332807, 'G': -0.19561301720308566}, {'B': 0.10147319608376361, 'D': 0.20136861298260972, 'F': 0.08164070216677397, 'H': 0.0838277843927444}, {'B': -0.10247319608376361, 'D': -0.20236861298260972, 'F': -0.08264070216677397, 'H': -0.0848277843927444}, {'B': 0.36238785583093447, 'D': 0.26436920162533845, 'F': 0.08352939722551377, 'H': 0.07416878459076387}, {'B': -0.36338785583093447, 'D': -0.26536920162533845, 'F': -0.08452939722551377, 'H': -0.07516878459076387}, {'A': 0.21730292661505302, 'C': 0.18249593447218643, 'E': 0.2195950511888617, 'G': 0.44115369970089346}, {'A': -0.21830292661505302, 'C': -0.18349593447218643, 'E': -0.2205950511888617, 'G': -0.44215369970089347}]
